ticket_id,description,category,priority
1,By Monday: The interface is degraded. I was trying to submit but it just stops working. Hope you're having a good day.,Technical,High
2,The view logs level is insufficient for my contact email. It keeps glitches. Sorry for the trouble. Sent from my iPhone. Best regards.,Account,Critical
3,Maybe later: Why is there a discrepancy in the summary? It says ref 99 but the amount is different. It's a critical blocker. Sent from my iPhone. Thanks for the help.,Billing,Low
4,Getting a handshake failure in the main view. This happened after the weekend. Need this fixed soon. Thanks for the help. Sent from my iPhone.,Technical,High
5,The module is not loading properly. I was trying to access the feature but it just returns an error. Best regards.,Technical,Low
6,Question: The change settings level is insufficient for my contact email. It keeps glitches. Hope you're having a good day. Hope you're having a good day. Sorry for the trouble.,Account,Medium
7,FYI: How do I set up the message systm? I am not seeing any updates. Urgent attention needed. Sent from my iPhone. Best regards.,Account,Low
8,I am having trouble with password redentials when I try to update profile. Hope you're having a good day.,Account,Medium
9,Follow up: How do I modify the alert system? I am not seeing any updates. Need this fixed soon.,Account,Medium
10,I am having trouble with login when I try to view logs. Thanks for the help. Sent from my iPhone. Sorry for the trouble.,Account,Critical
11,Needs checking: The auth settings are not loading properly. I need to set up my security settings. Production is impacted. Best regards. Sent from my iPhone.,Account,High
12,Suggestion: The MFA settings are degraded. I need to set up my contact email. Production is impacted.,Account,Low
13,"My profile data is showing as inactive. Also, the settings area feels acting strange. Hope you're having a good day.",Account,Medium
14,NOW: The gateway is not responding correctly. I was trying to proceed but it just glitches. Best regards.,Technical,Critical
15,Why is there a discrepancy in the statement? It says order #55 but the amount is different. Need this ixed soon. Best regards. Sorry for the trouble.,Billing,Critical
16,The view logs level is insufficient for my security settings. It keeps stops working. Sorry for the trouble.,Account,Critical
17,NOW: The system is not responding correctly. I was trying to sync but it just stops working. Sent from my iPhone. Hope you're having a good day. Sorry for the trouble.,Technical,Critical
18,Needs checking: How do I modify the message system? I am not seeing any updates. Urgent attention needed.,Account,High
19,By Monday: How do I set up the email system? I am not seeing any updates. Production is impacted.,Account,High
20,My transfer was flagged last night. I also have a question about security settings. Sorry for the rouble. Hope you're having a good day. Thanks for the help.,Billing,Low
21,FYI: The gateway is not responding correctly. I was trying to access the feature but it just glitches. Sorry for the trouble. Thanks for the help. Best regards.,Technical,Low
22,"I noticed the navigation layer is degraded on desktop. Also, and check my refund. Best regards. Best regards. Hope you're having a good day.",Technical,Low
