,precision,recall,f1-score,Model
Account,0.9722222222222222,0.9459459459459459,0.958904109589041,SVM
Billing,1.0,0.8648648648648649,0.927536231884058,SVM
Technical,0.8604651162790697,1.0,0.925,SVM
Account,0.9705882352941176,0.8918918918918919,0.9295774647887324,LOGREG
Billing,0.9696969696969697,0.8648648648648649,0.9142857142857143,LOGREG
Technical,0.8409090909090909,1.0,0.9135802469135802,LOGREG
Account,0.9722222222222222,0.9459459459459459,0.958904109589041,NB
Billing,0.9696969696969697,0.8648648648648649,0.9142857142857143,NB
Technical,0.8809523809523809,1.0,0.9367088607594937,NB
Account,0.9714285714285714,0.918918918918919,0.9444444444444444,ENSEMBLE
Billing,0.9696969696969697,0.8648648648648649,0.9142857142857143,ENSEMBLE
Technical,0.8604651162790697,1.0,0.925,ENSEMBLE
