,precision,recall,f1-score,Model
Low,0.5217391304347826,0.4444444444444444,0.48,SVM
Medium,0.47058823529411764,0.5714285714285714,0.5161290322580645,SVM
High,0.5483870967741935,0.6071428571428571,0.576271186440678,SVM
Critical,0.4782608695652174,0.39285714285714285,0.43137254901960786,SVM
Low,0.5217391304347826,0.4444444444444444,0.48,LOGREG
Medium,0.4838709677419355,0.5357142857142857,0.5084745762711864,LOGREG
High,0.45714285714285713,0.5714285714285714,0.5079365079365079,LOGREG
Critical,0.4090909090909091,0.32142857142857145,0.36,LOGREG
Low,0.3076923076923077,0.14814814814814814,0.2,NB
Medium,0.41935483870967744,0.4642857142857143,0.4406779661016949,NB
High,0.34285714285714286,0.42857142857142855,0.38095238095238093,NB
Critical,0.28125,0.32142857142857145,0.3,NB
Low,0.5238095238095238,0.4074074074074074,0.4583333333333333,ENSEMBLE
Medium,0.47058823529411764,0.5714285714285714,0.5161290322580645,ENSEMBLE
High,0.48484848484848486,0.5714285714285714,0.5245901639344263,ENSEMBLE
Critical,0.43478260869565216,0.35714285714285715,0.39215686274509803,ENSEMBLE
