Experiment,Model,Accuracy,CV_Mean
"Uni, NoStop",NB,0.5643564356435643,0.36987654320987656
"Uni, NoStop",LOGREG,0.6732673267326733,0.513641975308642
"Uni, NoStop",SVM,0.6732673267326733,0.6031481481481482
"Uni, Stop",NB,0.5445544554455446,0.4219135802469136
"Uni, Stop",LOGREG,0.6435643564356436,0.49376543209876544
"Uni, Stop",SVM,0.6435643564356436,0.580679012345679
"Uni+Bi, NoStop",NB,0.46534653465346537,0.33024691358024694
"Uni+Bi, NoStop",LOGREG,0.5742574257425742,0.3997839506172839
"Uni+Bi, NoStop",SVM,0.6435643564356436,0.5039814814814815
"Uni+Bi, Stop",NB,0.39603960396039606,0.3400308641975308
"Uni+Bi, Stop",LOGREG,0.5445544554455446,0.4045679012345679
"Uni+Bi, Stop",SVM,0.6039603960396039,0.47901234567901235
"Uni+Bi, Stop",ENSEMBLE,0.594059405940594,0.4616666666666666
